Merchant,Booked Quarter,Quarter On Book,FICO Bucket,Line Item,Value
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Merchant Discount Rate,"$40,770"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Other Revenue,"$2,290"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Cost of Funds,"($70,570)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Charge Offs,"($13,320)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Recoveries / Debt Sale,"$2,560"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Payment Fees,"($4,910)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Rewards,"($65,783)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Rebates,"($7,060)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Royalties,"($23,226)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),3rd Party Fraud,"($1,680)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Servicing & Collections,"($6,570)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Acquisition Bounties,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Sign-On Bonus,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Marketing Expense,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Added Features,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),KYC/AML and Underwriting Costs,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Card Origination,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),CAC / New Account,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Partner Signing Bonus,-
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Program Support,"($5,020)"
Merchant 4,Q2 2024,Q2 2026,Exceptional (800-850),Other Credits,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),New Accounts,0
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Total Accounts,"6,441"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),In-Month Active Accounts,"3,984"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Net Transaction Volume,"$4,313,100"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),On-Merchant Volume,"$3,450,500"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Off-Merchant Volume,"$862,600"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Outstanding Balance,"$8,909,990"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Revolve Balance,"$3,701,300"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Principal Payments,"($4,287,200)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),EoP Interest & Fees Balance,"$410,690"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Interest Revenue,"$202,650"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Interchange Revenue,"$62,110"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Fee Revenue,"$15,290"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Merchant Discount Rate,"$52,130"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Other Revenue,"$3,470"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Cost of Funds,"($120,340)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Charge Offs,"($44,930)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Recoveries / Debt Sale,"$8,030"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Payment Fees,"($6,660)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Rewards,"($81,630)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Rebates,"($8,400)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Royalties,"($29,232)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),3rd Party Fraud,"($2,680)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Servicing & Collections,"($10,330)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Acquisition Bounties,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Sign-On Bonus,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Marketing Expense,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Added Features,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),KYC/AML and Underwriting Costs,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Card Origination,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),CAC / New Account,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Partner Signing Bonus,-
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Program Support,"($7,320)"
Merchant 4,Q2 2024,Q2 2026,Very Good (740-799),Other Credits,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),New Accounts,0
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Total Accounts,"8,571"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),In-Month Active Accounts,"4,768"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Net Transaction Volume,"$4,471,300"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),On-Merchant Volume,"$3,577,000"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Off-Merchant Volume,"$894,300"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Outstanding Balance,"$13,621,410"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Revolve Balance,"$7,026,200"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Principal Payments,"($4,342,900)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),EoP Interest & Fees Balance,"$1,140,010"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Interest Revenue,"$437,380"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Interchange Revenue,"$64,390"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Fee Revenue,"$31,750"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Merchant Discount Rate,"$53,930"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Other Revenue,"$3,940"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Cost of Funds,"($183,540)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Charge Offs,"($148,570)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Recoveries / Debt Sale,"$25,450"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Payment Fees,"($6,850)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Rewards,"($78,683)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Rebates,"($9,220)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Royalties,"($30,265)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),3rd Party Fraud,"($2,880)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Servicing & Collections,"($15,340)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Acquisition Bounties,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Sign-On Bonus,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Marketing Expense,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Added Features,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),KYC/AML and Underwriting Costs,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Card Origination,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),CAC / New Account,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Partner Signing Bonus,-
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Program Support,"($9,840)"
Merchant 4,Q2 2024,Q2 2026,Good (670-739),Other Credits,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),New Accounts,0
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Total Accounts,"6,456"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),In-Month Active Accounts,"3,310"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Net Transaction Volume,"$2,587,600"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),On-Merchant Volume,"$2,070,100"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Off-Merchant Volume,"$517,500"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Outstanding Balance,"$11,186,530"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Revolve Balance,"$7,501,900"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Principal Payments,"($2,513,200)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),EoP Interest & Fees Balance,"$1,627,630"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Interest Revenue,"$523,260"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Interchange Revenue,"$39,850"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Fee Revenue,"$39,730"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Merchant Discount Rate,"$30,910"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Other Revenue,"$2,520"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Cost of Funds,"($151,050)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Charge Offs,"($214,230)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Recoveries / Debt Sale,"$37,130"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Payment Fees,"($3,990)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Rewards,"($40,439)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Rebates,"($5,020)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Royalties,"($17,866)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),3rd Party Fraud,"($2,300)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Servicing & Collections,"($15,390)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Acquisition Bounties,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Sign-On Bonus,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Marketing Expense,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Added Features,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),KYC/AML and Underwriting Costs,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Card Origination,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),CAC / New Account,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Partner Signing Bonus,-
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Program Support,"($7,820)"
Merchant 4,Q2 2024,Q2 2026,Fair (580-669),Other Credits,"($8,060)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),New Accounts,0
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Total Accounts,"2,539"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),In-Month Active Accounts,"1,122"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Net Transaction Volume,"$646,200"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),On-Merchant Volume,"$517,000"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Off-Merchant Volume,"$129,200"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Outstanding Balance,"$3,747,400"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Revolve Balance,"$2,859,300"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Principal Payments,"($621,900)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),EoP Interest & Fees Balance,"$765,900"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Interest Revenue,"$213,730"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Interchange Revenue,"$9,950"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Fee Revenue,"$20,590"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Merchant Discount Rate,"$7,860"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Other Revenue,$920
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Cost of Funds,"($50,790)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Charge Offs,"($128,040)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Recoveries / Debt Sale,"$22,610"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Payment Fees,($950)
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Rewards,"($9,068)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Rebates,"($1,340)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Royalties,"($4,489)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),3rd Party Fraud,($790)
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Servicing & Collections,"($7,200)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Acquisition Bounties,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Sign-On Bonus,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Marketing Expense,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Added Features,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),KYC/AML and Underwriting Costs,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Card Origination,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),CAC / New Account,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Partner Signing Bonus,-
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Program Support,"($3,220)"
Merchant 4,Q2 2024,Q2 2026,Poor (300-579),Other Credits,-
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),New Accounts,"4,754"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Total Accounts,"4,754"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),In-Month Active Accounts,"3,452"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Net Transaction Volume,"$4,135,900"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),On-Merchant Volume,"$3,639,600"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Off-Merchant Volume,"$496,300"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Outstanding Balance,"$6,044,790"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Revolve Balance,"$1,353,100"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Principal Payments,"($4,191,700)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),EoP Interest & Fees Balance,"$39,190"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Interest Revenue,"$63,930"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Interchange Revenue,"$53,100"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Fee Revenue,"$2,660"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Merchant Discount Rate,"$54,730"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Other Revenue,"$2,600"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Cost of Funds,"($81,720)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Charge Offs,-
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Recoveries / Debt Sale,-
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Payment Fees,"($6,040)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Rewards,"($84,554)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Rebates,"($8,590)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Royalties,"($29,208)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),3rd Party Fraud,"($1,940)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Servicing & Collections,"($7,950)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Acquisition Bounties,"($179,080)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Sign-On Bonus,"($132,850)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Marketing Expense,"($107,590)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Added Features,"($7,160)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),KYC/AML and Underwriting Costs,"($86,550)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Card Origination,"($38,510)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),CAC / New Account,($116)
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Partner Signing Bonus,-
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Program Support,"($5,400)"
Merchant 4,Q3 2024,Q3 2024,Exceptional (800-850),Other Credits,-
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),New Accounts,"7,743"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Total Accounts,"7,743"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),In-Month Active Accounts,"5,205"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Net Transaction Volume,"$5,742,100"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),On-Merchant Volume,"$5,053,000"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Off-Merchant Volume,"$689,100"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Outstanding Balance,"$9,256,440"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Revolve Balance,"$2,593,300"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Principal Payments,"($5,221,100)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),EoP Interest & Fees Balance,"$94,240"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Interest Revenue,"$141,980"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Interchange Revenue,"$79,470"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Fee Revenue,"$5,960"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Merchant Discount Rate,"$74,490"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Other Revenue,"$3,980"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Cost of Funds,"($120,810)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Charge Offs,-
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Recoveries / Debt Sale,-
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Payment Fees,"($8,500)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Rewards,"($114,644)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Rebates,"($11,380)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Royalties,"($42,787)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),3rd Party Fraud,"($3,360)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Servicing & Collections,"($14,090)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Acquisition Bounties,"($254,390)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Sign-On Bonus,"($181,240)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Marketing Expense,"($141,250)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Added Features,"($8,850)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),KYC/AML and Underwriting Costs,"($124,000)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Card Origination,"($60,890)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),CAC / New Account,($100)
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Partner Signing Bonus,-
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Program Support,"($9,080)"
Merchant 4,Q3 2024,Q3 2024,Very Good (740-799),Other Credits,-
Merchant 4,Q3 2024,Q3 2024,Good (670-739),New Accounts,"10,213"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Total Accounts,"10,213"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),In-Month Active Accounts,"6,333"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Net Transaction Volume,"$5,842,300"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),On-Merchant Volume,"$5,141,200"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Off-Merchant Volume,"$701,100"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Outstanding Balance,"$11,811,040"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Revolve Balance,"$4,064,500"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Principal Payments,"($4,336,100)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),EoP Interest & Fees Balance,"$193,940"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Interest Revenue,"$253,020"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Interchange Revenue,"$80,860"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Fee Revenue,"$13,320"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Merchant Discount Rate,"$76,450"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Other Revenue,"$4,670"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Cost of Funds,"($147,970)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Charge Offs,-
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Recoveries / Debt Sale,-
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Payment Fees,"($8,940)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Rewards,"($107,518)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Rebates,"($11,410)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Royalties,"($41,486)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),3rd Party Fraud,"($4,370)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Servicing & Collections,"($20,330)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Acquisition Bounties,"($273,790)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Sign-On Bonus,"($209,000)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Marketing Expense,"($155,600)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Added Features,"($10,100)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),KYC/AML and Underwriting Costs,"($154,170)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Card Origination,"($72,320)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),CAC / New Account,($86)
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Partner Signing Bonus,-
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Program Support,"($12,470)"
Merchant 4,Q3 2024,Q3 2024,Good (670-739),Other Credits,-
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),New Accounts,"8,113"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Total Accounts,"8,113"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),In-Month Active Accounts,"4,579"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Net Transaction Volume,"$3,546,900"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),On-Merchant Volume,"$3,121,300"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Off-Merchant Volume,"$425,600"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Outstanding Balance,"$8,657,870"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Revolve Balance,"$3,863,600"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Principal Payments,"($2,381,800)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),EoP Interest & Fees Balance,"$223,570"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Interest Revenue,"$269,490"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Interchange Revenue,"$52,640"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Fee Revenue,"$17,280"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Merchant Discount Rate,"$46,670"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Other Revenue,"$3,360"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Cost of Funds,"($107,510)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Charge Offs,-
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Recoveries / Debt Sale,-
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Payment Fees,"($5,340)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Rewards,"($59,507)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Rebates,"($7,010)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Royalties,"($25,597)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),3rd Party Fraud,"($3,310)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Servicing & Collections,"($21,410)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Acquisition Bounties,"($164,390)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Sign-On Bonus,"($126,280)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Marketing Expense,"($93,130)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Added Features,"($6,780)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),KYC/AML and Underwriting Costs,"($115,080)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Card Origination,"($58,030)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),CAC / New Account,($69)
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Partner Signing Bonus,-
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Program Support,"($9,540)"
Merchant 4,Q3 2024,Q3 2024,Fair (580-669),Other Credits,-
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),New Accounts,"3,540"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Total Accounts,"3,540"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),In-Month Active Accounts,"1,679"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Net Transaction Volume,"$961,000"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),On-Merchant Volume,"$845,700"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Off-Merchant Volume,"$115,300"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Outstanding Balance,"$2,922,470"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Revolve Balance,"$1,576,800"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Principal Payments,"($620,500)"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),EoP Interest & Fees Balance,"$103,970"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Interest Revenue,"$117,870"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Interchange Revenue,"$14,260"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Fee Revenue,"$9,000"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Merchant Discount Rate,"$12,510"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Other Revenue,"$1,310"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Cost of Funds,"($36,450)"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Charge Offs,-
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Recoveries / Debt Sale,-
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Payment Fees,"($1,430)"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Rewards,"($13,962)"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Rebates,"($1,870)"
Merchant 4,Q3 2024,Q3 2024,Poor (300-579),Royalties,"($7,065)"
